-73.72	0.01	0.001
-73.79	0.01	0.524
-73.72	0.011	0.001
-73.72	0.01	0.001
-73.72	0.01	0.023
-73.79	0.01	0.879
-73.72	0.01	0.946
-73.72	0.011	0.79
-73.72	0.011	0.722
-73.2	0.011	0.001
-72.42	0.011	0.002
-71.64	0.011	0.005
-70.85	0.01	0.148
-70.07	0.01	0.674
-69.22	0.01	0.565
-68.44	0.012	0.392
-67.59	0.01	0.002
-66.81	0.01	0.039
-65.96	0.012	0.133
-65.24	0.011	0.784
-64.46	0.012	0.767
-63.68	0.012	0.521
-62.77	0.013	0.371
-62.05	0.017	0.001
-61.2	0.02	0.037
-60.29	0.02	0.081
-59.37	0.016	0.774
-58.59	0.021	0.801
-57.74	0.018	0.724
-57.03	0.027	0.768
-56.18	0.024	0.001
-55.46	0.033	0.001
-54.61	0.043	0.002
-53.83	0.053	0.989
-52.98	0.071	0.979
-52.26	0.079	0.866
-51.42	0.087	0.979
-50.63	0.094	0.002
-49.78	0.109	0.004
-49.0	0.131	0.001
-48.15	0.148	0.844
-47.44	0.164	0.879
-46.59	0.178	0.709
-45.81	0.203	0.415
-45.02	0.222	0.43
-44.24	0.247	0.181
-43.39	0.276	0.195
-42.41	0.311	0.038
-41.57	0.335	0.002
-40.78	0.37	0.033
-39.93	0.413	0.05
-39.15	0.463	0.764
-38.37	0.512	0.784
-37.52	0.56	0.851
-36.74	0.623	0.001
-35.96	0.681	0.002
-35.11	0.74	0.001
-34.32	0.796	0.001
-33.28	0.875	1.02
-32.76	0.956	1.01
-31.98	1.072	1.022
-30.87	1.172	0.001
-30.08	1.255	0.001
-29.3	1.35	0.005
-28.45	1.449	0.267
-27.67	1.521	0.068
-26.89	1.597	0.105
-26.11	1.654	0.084
-25.19	1.667	0.849
-24.47	1.653	0.984
-23.63	1.598	0.991
-22.91	1.526	0.001
-22.06	1.442	0.016
-21.34	1.331	0.002
-20.43	1.256	0.002
-19.65	1.171	0.642
-18.86	1.063	0.342
-17.95	0.971	0.04
-16.97	0.893	0.897
-16.19	0.841	0.937
-15.41	0.728	0.969
-14.62	0.556	0.926
-13.78	0.391	0.02
-12.99	0.242	0.004
-12.15	0.126	0.024
-11.1	0.076	0.249
-10.32	0.072	0.061
-9.54	0.111	0.084
-8.69	0.136	0.956
-7.91	0.107	0.99
-7.12	0.051	0.917
-6.34	0.015	0.645
-5.49	0.02	0.324
-4.71	0.015	0.617
-3.93	0.018	0.916
-3.08	0.02	1.004
-2.04	0.021	0.002
-1.25	0.027	0.082
-0.67	0.033	0.079
0.12	0.306	0.059
0.9	4.862	0.001
1.42	5.0	0.001
2.27	3.117	0.001
2.99	0.079	0.806
3.84	0.022	0.339
4.62	0.026	0.002
5.47	0.023	0.165
6.18	0.023	0.768
7.03	0.027	0.816
7.81	0.026	0.923
8.34	0.031	0.004
8.86	0.037	0.018
9.18	0.038	0.057
9.45	0.042	0.134
9.97	0.049	0.004
10.23	0.059	0.002
10.49	0.059	0.002
10.75	0.067	1.009
11.01	0.076	0.885
11.27	0.078	0.736
11.53	0.111	0.332
12.32	0.204	0.609
13.16	0.292	0.73
14.21	0.322	0.002
14.99	0.333	0.002
15.77	0.342	0.066
16.62	0.365	0.095
17.4	0.446	0.002
18.19	0.548	0.001
18.97	0.626	0.001
19.82	0.694	0.814
20.86	0.753	0.641
21.71	0.824	0.361
22.49	0.875	0.155
23.27	0.983	0.866
24.06	1.231	0.996
24.84	1.451	0.96
25.88	1.531	0.006
26.73	1.578	0.165
27.25	1.606	0.441
28.36	1.591	0.002
29.08	1.551	0.001
29.93	1.497	0.002
30.71	1.431	0.004
31.82	1.361	0.066
32.6	1.286	0.002
33.45	1.212	0.001
34.17	1.137	0.786
35.02	1.048	0.398
35.8	1.037	0.162
36.78	1.004	0.958
37.36	0.984	0.979
38.21	0.939	0.513
39.0	0.899	0.076
39.84	0.85	0.907
40.63	0.816	0.88
41.41	0.774	0.237
42.19	0.736	0.002
43.3	0.707	0.98
44.02	0.669	0.786
44.87	0.637	0.602
45.65	0.596	0.7
46.5	0.571	0.973
47.28	0.542	1.031
48.06	0.512	0.889
48.85	0.471	0.266
49.69	0.441	0.509
50.41	0.413	0.849
51.26	0.374	0.004
52.04	0.342	0.076
52.89	0.313	0.164
53.61	0.283	0.002
54.72	0.274	0.001
55.37	0.237	0.012
56.02	0.214	0.221
57.06	0.179	0.001
57.78	0.155	0.001
58.43	0.148	0.02
59.48	0.134	0.034
60.33	0.118	0.001
61.11	0.109	0.002
61.89	0.103	0.066
62.74	0.084	0.582
63.46	0.073	0.001
64.31	0.065	0.049
65.09	0.055	0.23
65.87	0.049	0.001
66.65	0.045	0.001
67.5	0.033	0.004
68.28	0.031	0.26
69.39	0.029	0.001
70.11	0.016	0.002
70.96	0.017	0.132
71.74	0.015	0.774
72.59	0.012	0.004
73.37	0.01	0.14
74.16	0.011	0.707
74.94	0.01	0.002
75.72	0.01	0.017
76.5	0.01	0.352
77.61	0.011	0.002
78.4	0.01	0.112
79.18	0.011	0.596
79.96	0.011	0.969
80.74	0.01	0.252
